wall_s,step,updates,sps,reward,done_rate,clear_rate,n_clear,n_death,n_timeout,n_ep_window
162.5,260096,127,1602,0.1784,0.9062,1.0000,882,0,0,882
163.8,262144,128,1614,0.1709,0.8594,1.0000,882,0,0,882
165.1,264192,129,1559,0.1716,0.8594,1.0000,880,0,0,880
166.2,266240,130,1815,0.1649,0.8281,1.0000,883,0,0,883
167.4,268288,131,1682,0.1639,0.8281,1.0000,884,0,0,884
168.7,270336,132,1620,0.1758,0.8906,1.0000,882,0,0,882
169.9,272384,133,1650,0.1672,0.8438,1.0000,887,0,0,887
171.1,274432,134,1697,0.1626,0.8125,1.0000,890,0,0,890
172.2,276480,135,1863,0.1639,0.8281,1.0000,889,0,0,889
173.4,278528,136,1737,0.1647,0.8281,1.0000,891,0,0,891
174.6,280576,137,1745,0.1721,0.8750,1.0000,901,0,0,901
175.8,282624,138,1650,0.1682,0.8438,1.0000,893,0,0,893
177.1,284672,139,1664,0.1516,0.7656,1.0000,889,0,0,889
178.4,286720,140,1550,0.1637,0.8281,1.0000,881,0,0,881
179.7,288768,141,1591,0.1531,0.7656,1.0000,869,0,0,869
181.0,290816,142,1587,0.1508,0.7656,1.0000,857,0,0,857
182.1,292864,143,1850,0.1545,0.7812,1.0000,863,0,0,863
183.3,294912,144,1617,0.1609,0.8125,1.0000,859,0,0,859
184.5,296960,145,1683,0.1584,0.7969,1.0000,859,0,0,859
185.7,299008,146,1830,0.1525,0.7656,1.0000,855,0,0,855
186.9,301056,147,1725,0.1712,0.8750,1.0000,861,0,0,861
188.1,303104,148,1608,0.1620,0.8125,1.0000,853,0,0,853
189.4,305152,149,1560,0.1583,0.7969,1.0000,849,0,0,849
190.7,307200,150,1645,0.1767,0.9062,1.0000,848,0,0,848
191.9,309248,151,1645,0.1517,0.7500,1.0000,842,0,0,842
193.3,311296,152,1544,0.1767,0.9062,1.0000,837,0,0,837
194.5,313344,153,1642,0.1563,0.7812,1.0000,829,0,0,829
195.8,315392,154,1545,0.1703,0.8750,1.0000,831,0,0,831
197.0,317440,155,1680,0.1689,0.8438,1.0000,836,0,0,836
198.4,319488,156,1507,0.1586,0.7969,1.0000,834,0,0,834
199.9,321536,157,1415,0.1744,0.8906,1.0000,833,0,0,833
201.1,323584,158,1687,0.1601,0.7969,1.0000,841,0,0,841
202.3,325632,159,1612,0.1695,0.8594,1.0000,837,0,0,837
203.6,327680,160,1624,0.1696,0.8594,1.0000,842,0,0,842
204.9,329728,161,1604,0.1527,0.7656,1.0000,835,0,0,835
206.2,331776,162,1588,0.1693,0.8594,1.0000,828,0,0,828
207.5,333824,163,1572,0.1721,0.8750,1.0000,828,0,0,828
208.7,335872,164,1628,0.1528,0.7656,1.0000,827,0,0,827
209.9,337920,165,1690,0.1610,0.8125,1.0000,828,0,0,828
211.2,339968,166,1672,0.1749,0.8906,1.0000,831,0,0,831
212.4,342016,167,1697,0.1619,0.8125,1.0000,833,0,0,833
213.5,344064,168,1748,0.1606,0.8125,1.0000,843,0,0,843
214.8,346112,169,1610,0.1660,0.8438,1.0000,840,0,0,840
216.1,348160,170,1601,0.1646,0.8281,1.0000,843,0,0,843
217.3,350208,171,1684,0.1539,0.7812,1.0000,838,0,0,838
218.5,352256,172,1751,0.1635,0.8281,1.0000,848,0,0,848
219.7,354304,173,1625,0.1575,0.7969,1.0000,844,0,0,844
221.0,356352,174,1648,0.1599,0.8125,1.0000,845,0,0,845
222.2,358400,175,1673,0.1604,0.8125,1.0000,842,0,0,842
223.5,360448,176,1610,0.1518,0.7656,1.0000,836,0,0,836
224.7,362496,177,1730,0.1658,0.8438,1.0000,845,0,0,845
225.9,364544,178,1624,0.1611,0.8125,1.0000,843,0,0,843
227.2,366592,179,1585,0.1512,0.7656,1.0000,844,0,0,844
228.5,368640,180,1628,0.1496,0.7500,1.0000,836,0,0,836
229.7,370688,181,1643,0.1512,0.7656,1.0000,831,0,0,831
230.9,372736,182,1691,0.1563,0.7969,1.0000,830,0,0,830
232.1,374784,183,1783,0.1367,0.6875,1.0000,825,0,0,825
233.3,376832,184,1706,0.1418,0.7188,1.0000,815,0,0,815
234.4,378880,185,1763,0.1435,0.7188,1.0000,813,0,0,813
235.6,380928,186,1751,0.1207,0.6094,1.0000,803,0,0,803
236.8,382976,187,1663,0.1585,0.8125,1.0000,800,0,0,800
238.1,385024,188,1628,0.1218,0.6094,1.0000,789,0,0,789
239.4,387072,189,1599,0.1387,0.7031,1.0000,779,0,0,779
240.7,389120,190,1578,0.1225,0.6094,1.0000,764,0,0,764
241.8,391168,191,1758,0.1406,0.7188,1.0000,764,0,0,764
243.1,393216,192,1625,0.1308,0.6562,1.0000,752,0,0,752
244.3,395264,193,1708,0.1329,0.6719,1.0000,747,0,0,747
245.6,397312,194,1557,0.1474,0.7500,1.0000,737,0,0,737
